Zip,CD110,privatepartyexcellent,privatepartyfair,privatepartygood,privatepartyverygood,min-tradeinfair,tradeinfair,max-tradeinfair,min-tradeingood,tradeingood,max-tradeingood,min-tradeinverygood,tradeinverygood,max-tradeinverygood
7719,NJ-04,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
8001,NJ-02,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
8002,NJ-03,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
8003,NJ-01,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
79922,NM-02,17559,15059,16459,17009,12425,12775,13160,14094,14475,14855,14803,15175,15546
86504,NM-03,17559,15059,16459,17009,12425,12775,13160,14094,14475,14855,14803,15175,15546
87001,NM-01,17559,15059,16459,17009,12425,12775,13160,14094,14475,14855,14803,15175,15546
6390,NY-01,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
10001,NY-08,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
10002,NY-12,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
10002,NY-14,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
10023,NY-15,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
10301,NY-13,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
10451,NY-16,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
10458,NY-07,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
10458,NY-17,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
10501,NY-19,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
10502,NY-18,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
10916,NY-22,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
11001,NY-04,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
11001,NY-06,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
11004,NY-05,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
11050,NY-03,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
11201,NY-10,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
11201,NY-11,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
11204,NY-09,17258,14758,16158,16708,12205,12555,12940,13874,14255,14635,14583,14955,15326
